crse_id,"subject","catalog_nbr","course_title_long","descrlong",units_minimum,units_maximum,crse_offer_nbr,term
473,"CST"," 211","Technical Communications","Emphasizes critical thinking skills combined with reading, writing, thinking, and understanding visual information within a technical communications context. Students critically analyze material for reasonableness, persuasive power, social context, and ethical merit. Students read numerous context related writings, analyze their effectiveness, and write a number of papers that offer significant insights based on valid research in information technology and communications design.  

(Prereq: WRT 95 or EPT4 with Score of 147 or Higher)",4,4,1,2164
240,"BUS"," 435","Supply Chain Management","Provides an introduction to principles of supply chain management, risk, and uncertainty associated at different stages of supply chain, inventory management, and material resource planning. Analytical tools are provided to optimize a part of, or the whole, supply chain. Traditional agricultural and sustainability approaches are used to explore the interplay between domestic and global supply chain management issues. (Sections may be offered as classroom-based, hybrid or online courses.)

(Prereq: Junior or Senior Standing)",4,4,1,2164
4961,"HCOM"," 370","Media and the Military","This course is designed to provide both practical and theoretical frameworks in which to analyze communications and media work with the U.S. military. Students who wish to pursue careers in media, or with the military will learn practical skills for navigating media issues with the U.S. military. The course also is suitable for those who wish to participate in theoretical discussions about media representation of the military and military topics such as gender, race, and sexuality.  (Credit/ No Credit Available)",4,4,1,2164
5384,"STAT"," 325","Experimental Design and Analysis","Studies the design, analysis, and follow-up procedures of experiments across disciplines. Includes one-way and two-way analysis of variance, completely randomized designs, factorial designs, Latin Squares, nested and split-plot design, repeated measures, block designs, analysis of covariance, multiple comparison procedures, and incomplete designs.

(Prereq: MATH 320 or STAT 250 or STAT 100)",4,4,1,2164
3710,"VPA"," 220","Museum Studies","Through a service-learning approach, introduces the museum's potential and ethical responsibility for representing history and culture in a way that shapes the public's concept of its values. Divides class time between university setting and internships in local museums where students learn basic operation skills, conservation application, exhibit content, design, and interpretation. Students can begin resum",4,4,1,2164
3457,"SPAN"," 597","Independent Study","Individual study of a particular aspect of the culture, language, or civilization of the Spanish-speaking world. A written proposal for the study/research must be approved in advance by the sponsoring faculty member and the program chair. Number of credits depends on the nature of the student's academic goals and the consent of the faculty advisor.",1,6,1,2164
5219,"BIO"," 413","Molecular Genetics","A comprehensive molecular genetics course for majors covering DNA replication, repair and mutation, regulation of transcription and translation, and analysis and manipulation of genes at the molecular level.

(Prereq: BIO 311)",4,4,1,2164
4575,"LS"," 233","Arts in the School and Community","Introduces the arts and art education in public school and community contexts. Emphasizes investigating art, art criticism, and the aesthetics of various artists across dance, music, theater, and visual arts.  Addresses the selection of materials, techniques, tools, art concepts, and strategies appropriate for teaching art to multiple \"communities\" of students, as well as how to sensitively learn about the art(s) of a community. Designed to develop the ability to make curricular judgments by developing art-based lesson plans and designing art experiences \"across the curriculum.\"",4,4,1,2164
138,"BIO"," 320","Microbiology","Introduces the biology of microorganisms (bacteria, viruses, protozoa, algae, fungi), their significance as model systems for understanding fundamental cellular processes, and their role in human affairs. Also introduces the biological properties of bacterial and animal viruses, replication, methods of detection, interactions with host cells and multicellular hosts.

(Prereq: BIO 211 or BIO 241)",4,4,1,2164
4782,"ED"," 603A","Stage2 Elem Teaching Seminar","This course addresses issues and strategies for teaching in K-6 classrooms with diverse students. Seminar sessions will address concerns and solutions to problems encountered in Stage 2 practice teaching and link theory to practice. (Offered spring semester and as interest warrants. May be offered as classroom-based, hybrid, or online).

[(Prereq: ED 601 and ED 601A) and (Coreq: ED 603)]",2,2,1,2164
2627,"MPP"," 520","Congressional & Pres Politics","Seeks to explain the real world of policymaking by looking at several factors: key policy actors; mass media, groups, and public opinion; bargaining strategies; and sources of conflict and cooperation in congressional-presidential relations. Draws on case studies, guest speakers, and Leon Panetta's 30 years of public service experience in Washington, D.C. (Offered spring semester.)",4,4,1,2164
3920,"CST"," 263","Intro to Database Systems","This course is an introduction to Relational Database Management Systems. Topics covered will include relational database theory and the logical and physical design, implementation, and management of databases.  Additional topics will include Entity-Relationship Diagrams, Normalization and an introduction to SQL (Structured Query Language).   (Offered only as interest warrants.)",3,4,1,2164
372,"CHIN"," 103","Beg Chinese Conv I","Introduces conversational ability using daily life, structures, and vocabulary. (Offered only as interest warrants.)

(Coreq: CHIN 101)",2,2,1,2164
4862,"PH"," 447","Food Policy, Culture & Hlth","Introduces students to the historical, cultural, economic and political influences on and interrelationships between food policy, nutrition and health. We will explore the factors that influence our efforts to improve nutrition and ensure food security and sustainability through community food production/choices, global food markets, industrial food production, and commercial and public health influences on food choices. Formerly known as PH 440.

[Prereq: (Junior or Senior Standing) and (GE Area A4)]",4,4,1,2164
667,"ED"," 612","Pedagogy for Ling Diversity","Examines the issues and solutions involved in the education of students from diverse language backgrounds. Develops an understanding of the historical, social, legal, and political foundations of language minority education. Explores the theoretical foundations of language acquisition and develops strategies and approaches for working effectively with English learners. Includes both coursework and fieldwork weekly. (Offered summer session and as interest warrants)",3,3,1,2164
1528,"HCOM"," 595","Special Topics","For students interested in the oral history of the Fort Ord Conversion Project. (Offered occasionally.)  (Credit/No Credit Available)",1,6,1,2164
2200,"MAE"," 690","Action Thesis Advising","Students should register for one credit of this course every semester between completion of research methods and Capstone.",1,1,1,2164
5393,"MSCI"," 575","Marine Conservation Biology","This course covers the science and issues surrounding the loss of marine species and habitats resulting from overexploitation, habitat loss, species introductions, climate change, and other threats. Students will examine the science behind management decisions, especially place-based management, and will develop a group capstone project addressing marine conservation within the Monterey Bay area.",4,4,1,2164
4996,"LS"," 277S","Schooling in Modern Society","Schooling in Modern Society is a topical survey of public education as a socio-cultural institution, with a focus on how local practices shape and are shaped by the broader social, cultural, geographical, political, and economic contexts. Students complete approximately 30 hours of participation in elementary classrooms through service learning activities.",6,6,1,2164
479,"CST"," 228","Digital Image:Creation&Manipul","Digital image creation and manipulation is an important skill set that enables website graphic design, print design, and digital photography. Explores digital imaging techniques through the use of photo manipulation software, learn to use photo editing and color correction tools, create special effects, and work with a variety of file formats. Also covers practical aspects and steps to create digital images for a variety of outputs including audience analysis, material acquisition, and legal and ethical concerns. (Offered only as interest warrants.)",2,2,1,2164
2489,"MPA"," 102","Musicianship and Theory II","Triads and 7th chords and their inversions. Introduces modes, melodic and harmonic analysis, four-part harmony, and keyboard harmony. Sight singing, ear training, and dictation. Knowledge of musical notation and scales required. (Offered spring semester.)

(Prereq: MPA 101)",4,4,1,2164
2513,"MPA"," 215","Performance Study Beginning","Intermediate-level studies on the playing of a musical instrument or voice. Requires an audition or tape of performance to determine placement. May be repeated. Non-vocal students provide own instruments. (Offered every semester.)",1,1,1,2164
5023,"ENVS"," 101","Energy and Sustainability","This problem-based learning course consists of a series of independent projects that focus on the interaction between energy, sustainability, and the environment.   Each project is designed as a hands-on, collaborative inquiry where students are presented with a challenge and key question.   Each semester-long course consists of 3 to 6 of these projects.  One project each semester is focused exclusively on solving a major challenge in the campus climate action plan.

[Prereq: (Math 99 or ELM Score 50) and (WRT 95 or EPT 4 Score of 147 or Higher)]",4,4,1,2164
616,"CST"," 697","Independent Study","Student and faculty member select advanced topic of study and number of credits. (Offered only as interest warrants.)",1,6,1,2164
1156,"ENVS"," 531","Bld Rem-Op Vhcls for Classroom","Provides a forum for educators, especially those interested in participating in MATE student ROV competitions, to: (1) acquire the knowledge and skills needed to implement an ROV design and building curriculum that is aligned with the country's workforce needs; (2) gain an understanding of the type of work that ROV technicians do; and (3) learn about the many career opportunities available in the submersible-technology field. (Offered through Extended Ed.)",2,3,1,2164
4397,"PH"," 495","Special Topics","Explores a particular topic in public health.  May be repeated for credit when topics vary.  (Offered every semester.)  (Credit/ No Credit Available)",1,4,1,2164
654,"ED"," 597","Independent Study","Advanced study in a topic selected by the student and a faculty member. (Offered as interest warrants.)",1,6,1,2164
5042,"SICP"," 295","Special Topics","Studies a particular topic in Science Illustration. May be repeated for credit when topics vary. (Offered only as interest warrants.)  (Credit/No Credit Available)",1,4,1,2164
2003,"KIN"," 263","Introduction to Human Sexuality","Addresses the core concepts of human sexuality and the interrelationship that exists between it and mental, physical, social, emotional and spiritual well-being. Assists students in understanding the nature of their own sexuality, the importance of sexuality in their lives and the responsibility and pleasure it brings to individuals and their partners. Emphasis will be placed on the variations of expressions by culture, age, and orientation and their relationship with well-being.",3,3,1,2164
5017,"WRT"," 206","Reading and Writing the Japanese Mind","This course is offered to multilingual/ESL students simultaneously enrolled in JAPN306: The Japanese Mind.  Working with the subject matter of that course, WRT 206 focuses on developing English language academic reading and writing skills.  These include understanding the structure and conventions of written work in the humanities, the rhetorical differences among assigned texts in the field, and key elements of research in the field, while increasing fluency and mastery in English.

Prerequisites:  For those students required to take the EPT who receive a score below 147, WRT 95 must be completed as a prerequisite.  JAPN 306 is a corequisite.)",2,2,1,2164
2870,"SBS"," 475","Fort/Ord/Historical/Docs/Proje","A project-based exploration of the social history of Fort Ord. Students participate in the creation of an archive and virtual museum housed in the CSUMB Library. Activities include gathering letters, diaries, oral histories, photographs, and other documents and memorabilia from people who once lived on Fort Ord. Participants also inventory, catalog, and digitize the collected documents, and assist in building an online archive and museum. Formerly known as SBSC 475.",1,4,1,2164
605,"CST"," 624","Research Methods","Students develop an understanding of both quantitative and qualitative research methodologies and techniques. Students develop and implement research plans evaluating an aspect of their Capstone project. Fulfills the following MIST learning outcomes: distinguish between qualitative and quantitative research reports; select and evaluate appropriate techniques in education research; examine methodological approaches to designing research. (Cross listed under IST.)",4,4,1,2164
5014,"STAT"," 420","Statistical Theory I","Theory focused probability tools for statistics: description of discrete and absolutely continuous distributions, expected values, moments, moment generating functions, transformation of random variables, marginal and conditional distributions, independence, order statistics, multivariate distributions, concept of random sample, and derivation of many sampling distributions.

(Prereq: MATH 320 and MATH 322)",4,4,1,2164
4984,"FYS"," 158","Archaeology/Sustainability","Sustainability in prehistory and non-Western traditions constitutes the scope of this archaeological survey and project-based learning lab centered on the evidence for sustainable practices in and beyond the American hemisphere. In sum, we explore just how past cultural practices differ from or align with contemporary approaches to sustainability?  And ask, what does archaeology reveal about the successes, limitations, and failures of past human efforts to generate sustainable practices?

(Freshman Standing)",4,6,1,2164
2635,"MPP"," 640","Fin Mgmt & Public Nonprof Budg","Provides students with the basic concepts, terminology, and tools essential for financial, management, analysis, and budgeting in the public and nonprofit sectors. Case studies examine interactions between public budgeting at the state and local levels, and the increasing shift of responsibilities and funding to community-based nonprofit organizations for delivery of services. Requires basic familiarity with Excel software. (Offered spring semester.)",4,4,1,2164
2572,"MPA"," 395","Special Topics","Studies a particular topic in the music and performing arts major. May be repeated for credit when topics vary. (Offered as interest warrants.)  (Credit/ No Credit Available)",1,6,1,2164
262,"BUS"," 620","Survey of Org Info Tech Sys","Explores important issues shaping the IT systems that characterize contemporary organizations in the digital world.  Introduces the basic system components found in most IT environments, predominant issues and factors pertaining to technology adoption and use at the enterprise level, and trends in emerging information technologies and their impact on organizations. (Offered Fall semester.)",4,4,1,2164
2857,"SBS"," 397S","Independent Study","Student and faculty member select topic of study and number of credit hours. Formerly known as SBSC 397S.",1,6,1,2164
2876,"SBS"," 550","Congress/Intrnshp/Adm/Leg/Oper","Students are assigned to the office of a U.S. Representative who is a member of the California congressional delegation in Washington D.C. and spend a semester participating firsthand in American government. Participants examine administrative organization, methods, systems and procedures, problem solving, and systems analysis. Formerly known as SBSC 550.",4,4,1,2164
2807,"SBS"," 318","Tech Skills for the Social Sciences","Covers fundamentals of the current technology necessary for success in both academia and industry. Students attain competency in the use of software and electronic communication tools to analyze and manipulate data, and present research findings. Emphasizes using multimedia technologies in the context of the social and behavioral sciences, including Web page development and design, photographic image manipulation, and web-based portfolios. Formerly known as SBSC 318.  (Credit/No Credit Available)",2,4,1,2164
1202,"ENVS"," 597","Independent Study","Student and faculty member select topic of study and number of credits. (Offered only as interest warrants.)",1,6,1,2164
2480,"MLML"," 685","Grad Sem Mar Bio","MLML 285:Grad Sem Mar Bio-  This seminar is a multidisciplinary approach to climate changes and the study of the interactions between the hydrosphere, atmosphere, biosphere, cryosphere and lithosphere in marine sciences. Earth's climate has abruptly changed and changed the environment many times in the geologic past. The record of past climate variations is the key to understand modern changes and to predicted future climate variations and their effects on life on our planet. Students will present and discuss peer-reviewed articles on different topics concerning the complexity of the Earth systems and their interactions at different time scales and will discuss society's understanding or our modern climate state through discussion of the 2013 Intergovernmental Panel on Climate Change (IPCC) report and various literature surrounding it.Offered through Moss Landing Marine Laboratories (MLML); contact SEP program office for MLML registration procedures.

[Prereq: (MLML 504 and MLML 503 and MLML 512) and (Exclude Freshmen and Sophomore and Junior)]",2,2,1,2164
2511,"MPA"," 213","Jazz Blues Guitar","Students will progress from an intermediate to an advance level of guitar playing.  Prerequisite(s): perform at an intermediate level on the guitar and knowledge of fundamentals of music. (Offered fall semester.)

(Prereq: MPA 212)",1,1,1,2164
2554,"MPA"," 345","Improvisation","Examines the technique and performance practice of jazz improvisation from 1927 to the present. Students gain a greater understanding of, sensitivity to, and greater skills in the practice of improvisation. Particular emphasis is placed on each student acquiring and developing critical listening skills. All students must have a basic proficiency on their chosen musical instrument and a basic knowledge of scales, key signatures, intervals, and chords. Vocalists are accepted. (Offered spring semester.)",2,2,1,2164
4739,"SW"," 600","Applied Social Work Research Project I","Part 1 of the research project guides students thru the process of designing and conducting an independent study that responds to a social work practice or policy problem. Students will identify a research question, select a research strategy, develop their recruitment and research tools with accompanying protocols. The final assignment will be the submission of a human subjects application by the end of the term.

(Prereq: SW 550 and SW 551)",3,3,1,2164
130,"BIO"," 295","Special Topics","Studies a particular topic in Biology. May be repeated for credit when topics vary. (Offered only as interest warrants.)  (Credit/No Credit Available)",1,4,1,2164
2035,"KIN"," 372","Socio Persp Spor w/ Dis Emph","Provides an in-depth view of the essential issues regarding disability sport including: history, sport organizations including the Olympics, the international sport model, challenges and controversies, physical training, sport medicine issues, activity modifications, equipment uses and event management for both children and adults.  (Offered as needed).",3,3,1,2164
596,"CST"," 551","Web Databases and Services","Focuses on enterprise systems, Web services, and applications. Students design a Web-enabled enterprise database system and Web portal. Student presentations focus on emerging concepts in Web enterprise systems and services. (Offered spring semester.)

(Prereq: CST 251 and CST 351 and CST 463)",4,4,1,2164
2196,"MAE"," 651","National Board I","Designed for teachers currently working on their portfolio for the National Board for Professional Teaching Standards. In a structured and supportive environment, participants complete two sections of their portfolio. (Offered as needed through CSUMB Extended Education.)",3,3,1,2164
4245,"SW"," 620A","Advanced Practice Behavioral Health","This advanced practice course in the Behavioral Health concentration focuses on culturally sensitive clinical assessment and diagnosis; case planning with the goals of wellness, recovery, and motivational engagement;  working with diverse non-voluntary clients; and providing community education. May be offered as classroom based, hybrid or online course.

(Prereq: SW 520 and SW 530)",3,3,1,2164
135,"BIO"," 310L","Biochemistry Lab","Optional lab course for BIO 310. Lab course fee may be charged.

[(Prereq: BIO 310 or CHEM 310 ) or (Coreq: BIO 310 or CHEM 310)]",2,2,1,2164
2050,"KIN"," 384L","Wilderness Experience Lab","Required lab course for KIN 384, including a weeklong intensive field expedition to the San Rafael Wilderness during Spring Break. Requires course fee. Credit/no credit. (Offered spring semester of odd years).

(Coreq: KIN 384)",1,1,1,2164
1445,"HCOM"," 343","Race and Gender Justice","Examines the legal practices and scholarship that have intersected race and gender. We will read court cases that have shaped legal doctrine and essays that analyze and interpret that doctrine in order to understand the differing experiences of and conditions for women of all colors in relationship to gender justice. Offers built-in assessment in HCOM MLO 5 or the concentrations in Peace Studies, Women's Studies, Pre-Law. (Offered every year.)

(Prereq: GE Areas A1 and A2 and A3)",4,4,1,2164
2475,"MLML"," 673","Mar Env Std Gulf CA","MLML 273:Mar Env Std Gulf CA-  A comparative analysis of the marine environment of the Gulf of California through background lectures, readings, proposal writing, intensive field research in the Gulf, and writing a scientific paper based on the results. Topics vary depending on instructors. Course is taught in conjunction with a similar course at the Universidad Autonoma de Baja California Sur, La Paz, Mexico. Offered through Moss Landing Marine Laboratories (MLML); contact SEP program office for MLML registration procedures.",4,4,1,2164
2502,"MPA"," 201","Survey Of Jazz","",4,4,1,2164
4246,"SW"," 620B","Advanced Practice Children, Youth & Families","This advanced practice course in the Children, Youth, and Families concentration focuses on risk assessment, crisis intervention, motivational engagement, working with non-voluntary clients, relatives and foster parents, and intervention with family systems and diversity involved in the child welfare system. May be offered as classroom based, hybrid or online course.

(Prereq: SW 520 and SW 530)",3,3,1,2164
2866,"SBS"," 451","Congress/Intrnshp/Comm/Politic","Students are assigned to the office of a U.S. Representative who is a member of the California congressional delegation in Washington D.C. and spend a semester participating firsthand in American government. Students examine political processes by which public policy is formulated, adopted, and implemented; political activity; election of public officials; and the political organization of government. Formerly known as SBSC 451.",4,4,1,2164
4143,"JAPN"," 313","Manga, Anime & Modern Japan","This course uses Japanese manga and anime as modern mirrors that reflect the Japanese experience of rapid economic and social transformation over the past 150 years. From ancient Japanese styles of visual expression, this course traces how popular visual texts such as Manga and Anime sketch out a parallel world linked both historically and culturally to the imagined community of the Japanese nation-state. Taught in English.  

(Prereq: Junior or Senior Standing)",4,4,1,2164
340,"CHHS"," 397","Independent Study","Offers students independent learning opportunities in a selected specialty area. May include fieldwork to meet the required number of hours.",1,4,1,2164
535,"CST"," 372","Study at Sea Current Issues","Examines how progress in science and technology has affected the cultural, economic and physical ecology of the regions to be visited in the upcoming cruise. Special focus on ethical and social dimensions of technology-based change. Includes classroom instruction and two-month study voyage on board the TS Golden Bear. Also see ESSP 272, CST 482. (Offered only as interest warrants.)",2,4,1,2164
229,"BUS"," 385","Income Tax Fundamentals","Focuses on the Federal tax laws for businesses and individuals. Problem-solving is the basis of learning. Textbook problems simulating CPA exam questions are the primary basis of learning. Also covers legal and ethical dilemmas encountered in the practice of tax law and accounting. Course does not cover tax-form preparation. (In-class, hybrid, or online format).

[Prereq: BUS 203 and (Junior or Senior Standing)]",4,4,1,2164
195,"BUS"," 205","Managerial Accounting","Explores uses of accounting data. Covers budgeting & profit planning, cost-volume-product relationships, principles and purpose of accounting information systems, designing and using internal cost control systems, identifying and tracking product costs, cost standards and variance analysis, and reporting for decision making. Develops an understanding on the creation and impact of accounting information systems on business decisions, ethics and strategy. (Offered every term: classroom-based, hybrid or online)

(Prereq: BUS 203)",3,3,1,2164
498,"CST"," 305","3D Modeling & Animation","Teaches students to model, animate, and render using current digital 3D modeling and animation technology. Includes a foundation for developing character animation and special effects sequences. (Offered fall semester.)  (Credit/ No Credit Available)

(Prereq: CST 328)",4,4,1,2164
2623,"MPA"," 599","Practicum: Dir Exp Music","",2,4,1,2164
5002,"PSY"," 332L","Decision Making and Problem Solving Lab","Laboratory to accompany PSY 332. Various advanced research laboratory exercises, computer demonstrations of research experiments, discussion and/or oral presentation of decision making and problem solving material.

[(Prereq: PSY 200) and (Coreq: PSY 332)]",1,1,1,2164
1962,"JAPN"," 596","Field Studies","Individualizes student placement for field study as related to Japanese.  Offered as interest warrants.",1,6,1,2164
4891,"ENSTU"," 397","Independent Study","Student and faculty member select topic of study and number of credits. (Offered only as interest warrants.)  (Credit/No Credit Available)",1,6,1,2164
5147,"CHEM"," 440","Forensic Chemistry Topics","Selected topics from the current literature in forensic chemistry. May be repeated for a total of six (6) units.

[Prereq: CHEM 350 and (CHEM 210 or CHEM 211)]",1,4,1,2164
2639,"MPP"," 696C","Prof Policy Internshp Sem 3rd","",3,3,1,2164
2443,"MLML"," 542","Phys Oceanograph","MLML 142:Phys Oceanograph-  An introduction to the nature and causes of various oceanic motions, including currents, waves, tides, and mixing; and the physical properties of seawater. Limited use of calculus. Offered through Moss Landing Marine Laboratories (MLML); contact SEP program office for MLML registration procedures. (Offered fall semester.)

(Prereq: Include Junior and Senior and Post Bac and Graduate)",4,4,1,2164
2538,"MPA"," 320","Chorale","Studies and performs vocal repertoire for small ensembles including solo song, oratorio, opera, and ensemble music. Emphasizes the development of effective performance skills culminating in public performance. Must be repeated twice for credit. Off-campus performances may be required. (Offered as interest warrants.)",2,2,1,2164
248,"BUS"," 482","Audit I (Financial Auditing)","Roles and responsibilities of independent auditor. Generally accepted auditing practices and standards; professional ethics. Auditing procedures, planning the audit, work paper preparation, report writing, rendering an opinion on financial statements. Requires use of spreadsheet software. (Offered only as interest warrants; sections may be offered as classroom-based, hybrid, or online courses.)

[Prereq: (BUS 383 and BUS 384) and (Junior or Senior Standing)]",4,4,1,2164
3396,"SOC"," 395","Special Topics","Studies a particular topic in Sociology. May be repeated for credit when topics vary. (Offered only as interest warrants.)  (Credit/ No Credit Available)",2,4,1,2164
166,"BIO"," 444","Molecular Ecology & Evolution","Students will learn to apply molecular laboratory and analytical methods to questions in the fields of ecology and evolution and use these methods to execute and present a research project.

(Prereq:  BIO 311 or 341)",4,4,1,2164
1180,"ENVS"," 580","Envir & Resource Eco:App&Meth","Students use a standard input/output model framework to estimate economic values at regional scales. Develops economic growth and bio-economic models in a dynamic and spatial framework applied to management of California's marine resources. Introduces statistical (econometric) estimation and analyses of linear regression models, time-series models, travel cost models, and random utility models. (Offered fall semester of odd years.)",3,4,1,2164
3448,"SPAN"," 397S","Independent Study","Individual study of a particular aspect of the culture, language, or civilization of the Spanish-speaking world. A written proposal for the study/research must be approved in advance by the sponsoring faculty member and the program chair. Number of credits depends on the nature of the student's academic goals and the consent of the faculty advisor. Students enhance Spanish language communication skills via community service in local community agencies.  (Credit/NoCredit Available)",1,4,1,2164
3755,"VPA"," 397","Independent Study","Students pursue work in forms of public art including murals, installations, and performances, under the tutelage of practitioners in the field. Offers longterm project advisement and offsite project involvement. Note: students may enroll by faculty arrangement for critique or consultation on specified projects. (Offered only as interest warrants.)",1,4,1,2164
1307,"GS"," 305","Practicum/Assessment","Offered as interest warrants.",1,6,1,2164
5412,"SOC"," 315","Marriage and Family","This course examines family as a social institution, combining functional and sociological approaches. It utilizes historical and cross-cultural perspectives to examine and compare patterns of family behavior. Additional topics may include human sexuality, divorce, family planning, communication, gender equity, courtship/dating, and the psychodynamics of family life.  (Credit/No Credit Available)

(Prereq: SOC 100)",4,4,1,2164
5040,"SICP"," 395","Special Topics","Studies a particular topic in Science Illustration. May be repeated for credit when topics vary. (Offered only as interest warrants.)  (Credit/No Credit Available)",1,4,1,2164
5273,"KIN"," 390","Exercise Physiology","Presents an overview of selected topics in exercise physiology with emphasis on practical applications in health, disease, and athletic performance. Provides students with a fundamental understanding of the physiological responses and adaptations to acute and chronic exercise.",3,3,1,2164
4813,"SW"," 660","Substance Abuse Intervention","This elective graduate course provides students with social work practice skills related to the area of substance abuse such as use, abuse, and dependency issues and their impacts on the individual, family and community systems. Students will learn effective engagement, assessment, intervention, and evaluation strategies for addressing the consequences of substance abuse.

(Prereq: SW 530)",3,3,1,2164
5415,"SOC"," 360","Population and Contemporary Issues","This course studies historical, contemporary, and anticipated population conditions and trends as they relate to social issues and organization of society. It explores the population processes (fertility, mortality, and migration) as they affect and are affected by various influences such as urbanization, family, and environment. Additional topics may include undocumented migration, US-Mexico border, and globalization. (Credit/No Credit Available)

(Prereq: SOC 100 and STAT 100)",4,4,1,2164
4093,"CST"," 306","Game Engine Programming","Providing students with fundamental and transferable game engine programming skills.  After the completion of this course the students will be able to develop games using a game engine and a toolset of object-oriented programming techniques, design patterns and software engineering paradigms.

(Prereq: CST 238)",4,4,1,2164
2437,"MLML"," 513","Marine Ichthylogy","MLML113:Marine Ichthylogy-  A description of the taxonomy, morphology, and ecology of marine fishes. Field and laboratory work concentrate on the structure, function, and habits of marine fishes and the ecological interactions of these fishes with their biotic and abiotic surroundings. Offered through Moss Landing Marine Laboratories (MLML); contact SEP program office for MLML registration procedures. (Offered spring semester.)

(Prereq: Exclude Freshmen and Sophomore and Junior)",4,4,1,2164
2683,"PSY"," 215","Drugs & Human Behavior","The study of the drug development and testing, drug action, and drug use and abuse on human behavior.  General topics include: basic principles of pharmacology and drug action, \"new\" drug development, theories of psychopharmacology, theories of emotion/motivation/reward, drugs and the nervous system, psychostimulants, alcohol, hallucinogens, psychiatric medications, and substance abuse treatment.

[Prereq: PSY 100 and (PSY 110 or FYS 125)]",3,3,1,2164
606,"CST"," 640","E-Com:System Manage & Strategy","Analysis of electronic commerce systems and technologies with the strategic needs of system administrator and management. Focuses on analysis and assessment of technologies, their potentialities and impact on electronic commerce, and the development of methodological tools. (Offered fall semester.) (Cross listed under MIT and BUS.)",4,4,1,2164
219,"BUS"," 355","Intl Financial Mgt","Examines financial management and accounting aspects of doing business in global markets. Applies international financial management theories to problems of trade finance, direct foreign investment, international project finance, reduction of risks unique to international finance. Also examines international investment and roles of major international financial markets and institutions. (Offered only as interest warrants; sections may be offered as classroom-based, hybrid, or online courses.)

[Prereq: BUS 307 and (Junior or Senior Standing)]",4,4,1,2164
4265,"ED"," 675","Health for Elementary School Child","Health for Elementary School Children:  Addresses California Curriculum Standards and methods for teaching health in elementary school classrooms.  Satisfies a requirement for the Multiple Subjects Preliminary Credential. 

(Restricted to Multiple Subject Credential)",1,1,1,2164
3428,"SPAN"," 302","History of the Spanish Language","Surveys the development of modern Castillian and Latin American varieties of Spanish, its evolution as a Romance language, the Roman period, Visigoth and Arab influences, Native American contributions, and its modern language diversity. Focuses on linguistic and sociolinguist aspects of the dialects spoken throughout the Spanish-speaking world, including the United States.

(Prereq: SPAN 202)",4,4,1,2164
4835,"ENSTU"," 403","Capstone Seminar 2","Assists students in completing an Environmental Studies capstone portfolio and community-based project. 

(Prereq: ENSTU 400)",3,3,1,2164
2844,"SBS"," 381","US in Vietnam and Asia-Pacific: Peoples, Colonization, Conflicts, Resources","Analyzes the relations of the United States to Asia Pacific, especially Vietnam and the Philippines, from social, political-economy, cultural and historical perspectives. Key themes include colonization, conflicts, and resource exploitation in the Asia Pacific. Examines significant ethical concerns drawing from guest speakers, official documents, memoirs, fiction, poetry, films, photography, public and visual arts, and music.",4,4,1,2164
3501,"STAT"," 397","Independent Study","Student and faculty member select topic of study and number of credits. (Offered when enrollment warrants.)",1,6,1,2164
4473,"JAPN"," 407","Japan in the Globalized Community","This course examines the history of Japan in Asia, and how this legacy impacts dealings with its Asian neighbors. How is Japan optimizing its position in Asia and how are these efforts seen by others in the region? How do Japanese cultural exports work to change perceptions of Japan and the Japanese people in countries once colonized by Japan? How is Japan opening up to people from other countries in Asia and where does it fall short as a regional leader? Taught in English. 

(Prereq: Junior or Senior Standing)",4,4,1,2164
5004,"PSY"," 334L","Sensation & Perception Lab","Laboratory to accompany PSY 334. Various advanced research laboratory exercises, computer demonstrations of research experiments, discussion and/or oral presentation of sensation and perception material.

[(Prereq: PSY 200) and (Coreq: PSY 334)]",1,1,1,2164
4951,"PANM"," 402","Intro to Nonprofit and Public Administration","Introduces students to the concepts, principles and practices necessary to effectively manage public and nonprofit organizations and systems. Students will develop an understanding of organizational cultures; the importance of prioritizing services in consideration of budget constraints; and the relationships among federal, state and local governments, and non-profit agencies. They will gain basic knowledge and skills in budget development, reading financial statements, personnel management.

[Prereq: GE Area A4 and (STATS 100 or CHHS 203)]",4,4,1,2164
1517,"HCOM"," 475","Senior Capstone","Students produce a complex, interdisciplinary senior research project related to an issue or topic within the Human Communication major and their Depth Concentration. Students present their project in a public Capstone Festival. Required for all HCOM majors applying for graduation. Instructor Consent required. (Offered every semester.)",4,4,1,2164
3552,"CART"," 329","Contemporary Media History","Survey of the history, aesthetics, production technologies and cultural impact of media arts from 1960 to present. Throughout this course students will watch, analyze and contextualize works from the some of the most exciting periods in Media History.

(Prereq: Junior or Senior Standing)",4,4,1,2164
2476,"MLML"," 674","Adv Topics in Oceanography: Geobiological Studies of the Gulf of California","MLML 274: Adv Topics-  This course will focus on the interactions between geological and biological processes in marine and coastal environments of the Gulf of California.  The emphasis is on modern and past earth processes and their relationship to the ecology and sedimentology of coastal-nearshore systems including  shallow water rhodolith beds, mangroves, estuaries and beaches.  Lectures, readings, intensive field work, and composing a scientific paper based on original research.  Students must be able to participate in 2 weeks of field work and a valid passport is required.

(Prereq: Exclude Freshmen and Sophomore and Junior)",1,4,1,2164
